User_ID,Group,ActiveEntity,SufficientInformation,SpecificSufficientInformation - have,SpecificSufficientInformation - know,SpecificSufficientInformation - are
0,1,Processes,Smtg they have,Certificate,PIN,Fingerprint
1,2,Human User,smtg they know and smtg they are,Certificate,Text-password,Iris
2,1,Human User,Smtg they know and smtg they have,Token,Text-password,Retina
3,1,Both,Smtg they know,Certificate,Text-password,Iris
4,1,Human User,smtg they know and smtg they are,Certificate,PIN,Fingerprint
5,1,Processes,smtg they know and smtg they are,Token,PIN,Retina
6,2,Both,Smtg they are,Assertion,Text-password,Voice
7,1,Processes,Smtg they are,Assertion,Pattern password,Retina
8,2,Processes,Smtg they are,Token,Pattern password,Voice
9,2,Processes,Smtg they know and smtg they have,Token,Passphrase,Iris
